"ResponseId","trial","happiness","image","condition"
"R_0kU85m0uwzUbLEZ","neutral",3.5,"positive stimuli present","pen-in-mouth"
"R_0MpsyQhHRWfCc01","filler",1,"positive stimuli absent","facial mimicry"
"R_0MpsyQhHRWfCc01","filler",1,"positive stimuli absent","facial mimicry"
"R_0MpsyQhHRWfCc01","happy",1,"positive stimuli absent","facial mimicry"
"R_0MpsyQhHRWfCc01","neutral",1,"positive stimuli absent","facial mimicry"
"R_0Ne3bBFeQ24lAPL","filler",4,"positive stimuli absent","facial mimicry"
"R_0Ne3bBFeQ24lAPL","filler",3.25,"positive stimuli absent","facial mimicry"
"R_0Ne3bBFeQ24lAPL","happy",4.25,"positive stimuli absent","facial mimicry"
"R_0Ne3bBFeQ24lAPL","neutral",4,"positive stimuli absent","facial mimicry"
"R_0PvelPOobUYeXip","filler",4.5,"positive stimuli present","facial mimicry"
"R_0PvelPOobUYeXip","filler",4,"positive stimuli present","facial mimicry"
"R_0PvelPOobUYeXip","happy",3.5,"positive stimuli present","facial mimicry"
"R_0PvelPOobUYeXip","neutral",3.25,"positive stimuli present","facial mimicry"
"R_0U81uYQnsRsE689","filler",1,"positive stimuli absent","pen-in-mouth"
"R_0U81uYQnsRsE689","filler",1,"positive stimuli absent","pen-in-mouth"
"R_0U81uYQnsRsE689","happy",1,"positive stimuli absent","pen-in-mouth"
"R_0U81uYQnsRsE689","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_0VbMCPpuRjGh7qh","filler",1.5,"positive stimuli absent","facial mimicry"
"R_0VbMCPpuRjGh7qh","filler",1,"positive stimuli absent","facial mimicry"
"R_0VbMCPpuRjGh7qh","happy",3.75,"positive stimuli absent","facial mimicry"
"R_0VbMCPpuRjGh7qh","neutral",1.5,"positive stimuli absent","facial mimicry"
"R_0VUW2pnIYfvUa41","filler",1,"positive stimuli absent","voluntary facial action"
"R_0VUW2pnIYfvUa41","filler",2.75,"positive stimuli absent","voluntary facial action"
"R_0VUW2pnIYfvUa41","happy",2,"positive stimuli absent","voluntary facial action"
"R_0VUW2pnIYfvUa41","neutral",4.75,"positive stimuli absent","voluntary facial action"
"R_0xsPuG2fRRYxpG9","filler",1,"positive stimuli present","pen-in-mouth"
"R_0xsPuG2fRRYxpG9","filler",1.5,"positive stimuli present","pen-in-mouth"
"R_0xsPuG2fRRYxpG9","happy",2.75,"positive stimuli present","pen-in-mouth"
"R_0xsPuG2fRRYxpG9","neutral",1.5,"positive stimuli present","pen-in-mouth"
"R_10A65ZhXI8yPF1Y","filler",1,"positive stimuli present","pen-in-mouth"
"R_10A65ZhXI8yPF1Y","filler",1,"positive stimuli present","pen-in-mouth"
"R_10A65ZhXI8yPF1Y","happy",1,"positive stimuli present","pen-in-mouth"
"R_10A65ZhXI8yPF1Y","neutral",1.25,"positive stimuli present","pen-in-mouth"
"R_10IyzfFEijiQf54","filler",1.25,"positive stimuli present","voluntary facial action"
"R_10IyzfFEijiQf54","filler",2.5,"positive stimuli present","voluntary facial action"
"R_10IyzfFEijiQf54","happy",1.75,"positive stimuli present","voluntary facial action"
"R_10IyzfFEijiQf54","neutral",1,"positive stimuli present","voluntary facial action"
"R_10ou4gtlr1peDgg","filler",2.75,"positive stimuli present","voluntary facial action"
"R_10ou4gtlr1peDgg","filler",3,"positive stimuli present","voluntary facial action"
"R_10ou4gtlr1peDgg","happy",4,"positive stimuli present","voluntary facial action"
"R_10ou4gtlr1peDgg","neutral",3.25,"positive stimuli present","voluntary facial action"
"R_10pdRsMeQ2AyZfs","filler",1,"positive stimuli absent","pen-in-mouth"
"R_10pdRsMeQ2AyZfs","filler",1,"positive stimuli absent","pen-in-mouth"
"R_10pdRsMeQ2AyZfs","happy",1,"positive stimuli absent","pen-in-mouth"
"R_10pdRsMeQ2AyZfs","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_10wux73OfmbsVnL","filler",6,"positive stimuli present","pen-in-mouth"
"R_10wux73OfmbsVnL","filler",3,"positive stimuli present","pen-in-mouth"
"R_10wux73OfmbsVnL","happy",3.75,"positive stimuli present","pen-in-mouth"
"R_10wux73OfmbsVnL","neutral",3,"positive stimuli present","pen-in-mouth"
"R_10ZpS3wk2uQzP6M","filler",2.5,"positive stimuli present","facial mimicry"
"R_10ZpS3wk2uQzP6M","filler",4,"positive stimuli present","facial mimicry"
"R_10ZpS3wk2uQzP6M","happy",5,"positive stimuli present","facial mimicry"
"R_10ZpS3wk2uQzP6M","neutral",3.5,"positive stimuli present","facial mimicry"
"R_110kSiRODG378nK","filler",4.25,"positive stimuli present","voluntary facial action"
"R_110kSiRODG378nK","filler",2,"positive stimuli present","voluntary facial action"
"R_110kSiRODG378nK","happy",2.5,"positive stimuli present","voluntary facial action"
"R_110kSiRODG378nK","neutral",3.75,"positive stimuli present","voluntary facial action"
"R_114xif5ZlNbKcOs","filler",2,"positive stimuli present","facial mimicry"
"R_114xif5ZlNbKcOs","filler",2,"positive stimuli present","facial mimicry"
"R_114xif5ZlNbKcOs","happy",2,"positive stimuli present","facial mimicry"
"R_114xif5ZlNbKcOs","neutral",2,"positive stimuli present","facial mimicry"
"R_11bjjuWX6jV9KeX","filler",3.75,"positive stimuli present","pen-in-mouth"
"R_11bjjuWX6jV9KeX","filler",4,"positive stimuli present","pen-in-mouth"
"R_11bjjuWX6jV9KeX","happy",5.25,"positive stimuli present","pen-in-mouth"
"R_11bjjuWX6jV9KeX","neutral",3,"positive stimuli present","pen-in-mouth"
"R_11cLIudPaPnDrU8","filler",3.5,"positive stimuli present","pen-in-mouth"
"R_11cLIudPaPnDrU8","filler",4.5,"positive stimuli present","pen-in-mouth"
"R_11cLIudPaPnDrU8","happy",3.25,"positive stimuli present","pen-in-mouth"
"R_11cLIudPaPnDrU8","neutral",2.75,"positive stimuli present","pen-in-mouth"
"R_11d0XWRJclqhf67","filler",4,"positive stimuli present","voluntary facial action"
"R_11d0XWRJclqhf67","filler",4,"positive stimuli present","voluntary facial action"
"R_11d0XWRJclqhf67","happy",4.5,"positive stimuli present","voluntary facial action"
"R_11d0XWRJclqhf67","neutral",3.75,"positive stimuli present","voluntary facial action"
"R_11dqHaRFi4MlUjL","filler",2,"positive stimuli present","pen-in-mouth"
"R_11dqHaRFi4MlUjL","filler",2.25,"positive stimuli present","pen-in-mouth"
"R_11dqHaRFi4MlUjL","happy",1.5,"positive stimuli present","pen-in-mouth"
"R_11dqHaRFi4MlUjL","neutral",2,"positive stimuli present","pen-in-mouth"
"R_11XuvDlF53cysv3","filler",5,"positive stimuli present","facial mimicry"
"R_11XuvDlF53cysv3","filler",2.5,"positive stimuli present","facial mimicry"
"R_11XuvDlF53cysv3","happy",6,"positive stimuli present","facial mimicry"
"R_11XuvDlF53cysv3","neutral",6,"positive stimuli present","facial mimicry"
"R_12A3eWRRiNfl6xP","filler",2.75,"positive stimuli absent","pen-in-mouth"
"R_12A3eWRRiNfl6xP","filler",2.25,"positive stimuli absent","pen-in-mouth"
"R_12A3eWRRiNfl6xP","happy",1.5,"positive stimuli absent","pen-in-mouth"
"R_12A3eWRRiNfl6xP","neutral",1.75,"positive stimuli absent","pen-in-mouth"
"R_12ArKUdLmTSKZTY","filler",4,"positive stimuli absent","pen-in-mouth"
"R_12ArKUdLmTSKZTY","filler",6.25,"positive stimuli absent","pen-in-mouth"
"R_12ArKUdLmTSKZTY","happy",4.75,"positive stimuli absent","pen-in-mouth"
"R_12ArKUdLmTSKZTY","neutral",6.25,"positive stimuli absent","pen-in-mouth"
"R_12M7ieY6zVFHjxd","filler",2,"positive stimuli present","voluntary facial action"
"R_12M7ieY6zVFHjxd","filler",1,"positive stimuli present","voluntary facial action"
"R_12M7ieY6zVFHjxd","happy",4,"positive stimuli present","voluntary facial action"
"R_12M7ieY6zVFHjxd","neutral",3.5,"positive stimuli present","voluntary facial action"
"R_12mepeoWm5q08rl","filler",1.5,"positive stimuli absent","facial mimicry"
"R_12mepeoWm5q08rl","filler",2.25,"positive stimuli absent","facial mimicry"
"R_12mepeoWm5q08rl","happy",1.25,"positive stimuli absent","facial mimicry"
"R_12mepeoWm5q08rl","neutral",1,"positive stimuli absent","facial mimicry"
"R_12PVLVGOUgWNJI1","filler",4.75,"positive stimuli absent","voluntary facial action"
"R_12PVLVGOUgWNJI1","filler",4.75,"positive stimuli absent","voluntary facial action"
"R_12PVLVGOUgWNJI1","happy",4.5,"positive stimuli absent","voluntary facial action"
"R_12PVLVGOUgWNJI1","neutral",3.25,"positive stimuli absent","voluntary facial action"
"R_12PyGlXvH7Up55b","filler",1,"positive stimuli absent","pen-in-mouth"
"R_12PyGlXvH7Up55b","filler",1,"positive stimuli absent","pen-in-mouth"
"R_12PyGlXvH7Up55b","happy",1,"positive stimuli absent","pen-in-mouth"
"R_12PyGlXvH7Up55b","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_12yjbmyMVze1EWd","filler",1,"positive stimuli absent","facial mimicry"
"R_12yjbmyMVze1EWd","filler",1,"positive stimuli absent","facial mimicry"
"R_12yjbmyMVze1EWd","happy",1,"positive stimuli absent","facial mimicry"
"R_12yjbmyMVze1EWd","neutral",1,"positive stimuli absent","facial mimicry"
"R_12yT6Dxaz5T9BiN","filler",1,"positive stimuli present","voluntary facial action"
"R_12yT6Dxaz5T9BiN","filler",1,"positive stimuli present","voluntary facial action"
"R_12yT6Dxaz5T9BiN","happy",2,"positive stimuli present","voluntary facial action"
"R_12yT6Dxaz5T9BiN","neutral",3,"positive stimuli present","voluntary facial action"
"R_1B6UTFMjVVKyxqN","filler",1,"positive stimuli present","pen-in-mouth"
"R_1B6UTFMjVVKyxqN","filler",1,"positive stimuli present","pen-in-mouth"
"R_1B6UTFMjVVKyxqN","happy",1,"positive stimuli present","pen-in-mouth"
"R_1B6UTFMjVVKyxqN","neutral",1,"positive stimuli present","pen-in-mouth"
"R_1BRytphOVqJ9dSJ","filler",3.25,"positive stimuli absent","pen-in-mouth"
"R_1BRytphOVqJ9dSJ","filler",3.75,"positive stimuli absent","pen-in-mouth"
"R_1BRytphOVqJ9dSJ","happy",3.5,"positive stimuli absent","pen-in-mouth"
"R_1BRytphOVqJ9dSJ","neutral",3,"positive stimuli absent","pen-in-mouth"
"R_1BXDpeZ1eRMDHnQ","filler",1,"positive stimuli present","facial mimicry"
"R_1BXDpeZ1eRMDHnQ","filler",1,"positive stimuli present","facial mimicry"
"R_1BXDpeZ1eRMDHnQ","happy",5.5,"positive stimuli present","facial mimicry"
"R_1BXDpeZ1eRMDHnQ","neutral",3.25,"positive stimuli present","facial mimicry"
"R_1BY0qRu7tsbR8Ne","filler",1,"positive stimuli present","facial mimicry"
"R_1BY0qRu7tsbR8Ne","filler",1.25,"positive stimuli present","facial mimicry"
"R_1BY0qRu7tsbR8Ne","happy",3.5,"positive stimuli present","facial mimicry"
"R_1BY0qRu7tsbR8Ne","neutral",4.25,"positive stimuli present","facial mimicry"
"R_1C8EPGlESdumc3N","filler",1,"positive stimuli present","voluntary facial action"
"R_1C8EPGlESdumc3N","filler",1,"positive stimuli present","voluntary facial action"
"R_1C8EPGlESdumc3N","happy",1,"positive stimuli present","voluntary facial action"
"R_1C8EPGlESdumc3N","neutral",1,"positive stimuli present","voluntary facial action"
"R_1CBCzVnp8pkptDy","filler",1,"positive stimuli absent","pen-in-mouth"
"R_1CBCzVnp8pkptDy","filler",1.5,"positive stimuli absent","pen-in-mouth"
"R_1CBCzVnp8pkptDy","happy",1,"positive stimuli absent","pen-in-mouth"
"R_1CBCzVnp8pkptDy","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_1CCrq7xSzRze3cp","filler",1,"positive stimuli absent","voluntary facial action"
"R_1CCrq7xSzRze3cp","filler",1,"positive stimuli absent","voluntary facial action"
"R_1CCrq7xSzRze3cp","happy",1,"positive stimuli absent","voluntary facial action"
"R_1CCrq7xSzRze3cp","neutral",1,"positive stimuli absent","voluntary facial action"
"R_1CdAFjwfNJpyh9k","filler",1,"positive stimuli absent","voluntary facial action"
"R_1CdAFjwfNJpyh9k","filler",1,"positive stimuli absent","voluntary facial action"
"R_1CdAFjwfNJpyh9k","happy",3.25,"positive stimuli absent","voluntary facial action"
"R_1CdAFjwfNJpyh9k","neutral",1,"positive stimuli absent","voluntary facial action"
"R_1CexkvxmYYr0j0q","filler",1,"positive stimuli present","facial mimicry"
"R_1CexkvxmYYr0j0q","filler",1,"positive stimuli present","facial mimicry"
"R_1CexkvxmYYr0j0q","happy",1,"positive stimuli present","facial mimicry"
"R_1CexkvxmYYr0j0q","neutral",1,"positive stimuli present","facial mimicry"
"R_1CezRFb1iesCS7Y","filler",1,"positive stimuli present","pen-in-mouth"
"R_1CezRFb1iesCS7Y","filler",1.5,"positive stimuli present","pen-in-mouth"
"R_1CezRFb1iesCS7Y","happy",1.5,"positive stimuli present","pen-in-mouth"
"R_1CezRFb1iesCS7Y","neutral",1,"positive stimuli present","pen-in-mouth"
"R_1CjfZGVQYCtZTRY","filler",1.5,"positive stimuli absent","facial mimicry"
"R_1CjfZGVQYCtZTRY","filler",1.5,"positive stimuli absent","facial mimicry"
"R_1CjfZGVQYCtZTRY","happy",1.75,"positive stimuli absent","facial mimicry"
"R_1CjfZGVQYCtZTRY","neutral",1,"positive stimuli absent","facial mimicry"
"R_1CKnCfIFAUbjEVR","filler",2.5,"positive stimuli present","facial mimicry"
"R_1CKnCfIFAUbjEVR","filler",2.5,"positive stimuli present","facial mimicry"
"R_1CKnCfIFAUbjEVR","happy",6,"positive stimuli present","facial mimicry"
"R_1CKnCfIFAUbjEVR","neutral",7,"positive stimuli present","facial mimicry"
"R_1CmDAzMYizFSGbU","filler",1,"positive stimuli absent","voluntary facial action"
"R_1CmDAzMYizFSGbU","filler",1,"positive stimuli absent","voluntary facial action"
"R_1CmDAzMYizFSGbU","happy",1.5,"positive stimuli absent","voluntary facial action"
"R_1CmDAzMYizFSGbU","neutral",1,"positive stimuli absent","voluntary facial action"
"R_1CqhDQOCyaBmpEC","filler",1,"positive stimuli present","facial mimicry"
"R_1CqhDQOCyaBmpEC","filler",1.75,"positive stimuli present","facial mimicry"
"R_1CqhDQOCyaBmpEC","happy",2.75,"positive stimuli present","facial mimicry"
"R_1CqhDQOCyaBmpEC","neutral",2,"positive stimuli present","facial mimicry"
"R_1Cqrfli4bGA6cbf","filler",2,"positive stimuli absent","facial mimicry"
"R_1Cqrfli4bGA6cbf","filler",1,"positive stimuli absent","facial mimicry"
"R_1Cqrfli4bGA6cbf","happy",2,"positive stimuli absent","facial mimicry"
"R_1Cqrfli4bGA6cbf","neutral",2,"positive stimuli absent","facial mimicry"
"R_1CraaePQLirlu1C","filler",2,"positive stimuli present","voluntary facial action"
"R_1CraaePQLirlu1C","filler",1.75,"positive stimuli present","voluntary facial action"
"R_1CraaePQLirlu1C","happy",1.5,"positive stimuli present","voluntary facial action"
"R_1CraaePQLirlu1C","neutral",3.75,"positive stimuli present","voluntary facial action"
"R_1CvJ4JL6RTO6Zmr","filler",1.25,"positive stimuli present","voluntary facial action"
"R_1CvJ4JL6RTO6Zmr","filler",2,"positive stimuli present","voluntary facial action"
"R_1CvJ4JL6RTO6Zmr","happy",2.75,"positive stimuli present","voluntary facial action"
"R_1CvJ4JL6RTO6Zmr","neutral",2,"positive stimuli present","voluntary facial action"
"R_1cZjj93fZdOuX8f","filler",1,"positive stimuli absent","voluntary facial action"
"R_1cZjj93fZdOuX8f","filler",1,"positive stimuli absent","voluntary facial action"
"R_1cZjj93fZdOuX8f","happy",1,"positive stimuli absent","voluntary facial action"
"R_1cZjj93fZdOuX8f","neutral",1,"positive stimuli absent","voluntary facial action"
"R_1d1fjXVyBPUBMxw","filler",1,"positive stimuli absent","pen-in-mouth"
"R_1d1fjXVyBPUBMxw","filler",1.25,"positive stimuli absent","pen-in-mouth"
"R_1d1fjXVyBPUBMxw","happy",2,"positive stimuli absent","pen-in-mouth"
"R_1d1fjXVyBPUBMxw","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_1d5eSCAIpJz7xdy","filler",2.75,"positive stimuli absent","pen-in-mouth"
"R_1d5eSCAIpJz7xdy","filler",4,"positive stimuli absent","pen-in-mouth"
"R_1d5eSCAIpJz7xdy","happy",2.75,"positive stimuli absent","pen-in-mouth"
"R_1d5eSCAIpJz7xdy","neutral",2.75,"positive stimuli absent","pen-in-mouth"
"R_1d5fjbbWR6vcCKN","filler",2,"positive stimuli present","facial mimicry"
"R_1d5fjbbWR6vcCKN","filler",2,"positive stimuli present","facial mimicry"
"R_1d5fjbbWR6vcCKN","happy",2,"positive stimuli present","facial mimicry"
"R_1d5fjbbWR6vcCKN","neutral",2.25,"positive stimuli present","facial mimicry"
"R_1d77Tj6oPfZop0l","filler",6.25,"positive stimuli absent","facial mimicry"
"R_1d77Tj6oPfZop0l","filler",6.25,"positive stimuli absent","facial mimicry"
"R_1d77Tj6oPfZop0l","happy",7,"positive stimuli absent","facial mimicry"
"R_1d77Tj6oPfZop0l","neutral",6.5,"positive stimuli absent","facial mimicry"
"R_1dac2Qy0ocCSr7i","filler",1,"positive stimuli absent","voluntary facial action"
"R_1dac2Qy0ocCSr7i","filler",1,"positive stimuli absent","voluntary facial action"
"R_1dac2Qy0ocCSr7i","happy",1,"positive stimuli absent","voluntary facial action"
"R_1dac2Qy0ocCSr7i","neutral",1,"positive stimuli absent","voluntary facial action"
"R_1dAhySkvx9Lc7jU","filler",1,"positive stimuli present","voluntary facial action"
"R_1dAhySkvx9Lc7jU","filler",1,"positive stimuli present","voluntary facial action"
"R_1dAhySkvx9Lc7jU","happy",2.75,"positive stimuli present","voluntary facial action"
"R_1dAhySkvx9Lc7jU","neutral",1,"positive stimuli present","voluntary facial action"
"R_1DBYBOdzMfQcRXp","filler",2.5,"positive stimuli present","facial mimicry"
"R_1DBYBOdzMfQcRXp","filler",2.25,"positive stimuli present","facial mimicry"
"R_1DBYBOdzMfQcRXp","happy",6,"positive stimuli present","facial mimicry"
"R_1DBYBOdzMfQcRXp","neutral",6,"positive stimuli present","facial mimicry"
"R_1dc43Ox2FZnhI0A","filler",3.75,"positive stimuli present","facial mimicry"
"R_1dc43Ox2FZnhI0A","filler",4.25,"positive stimuli present","facial mimicry"
"R_1dc43Ox2FZnhI0A","happy",2.5,"positive stimuli present","facial mimicry"
"R_1dc43Ox2FZnhI0A","neutral",2.5,"positive stimuli present","facial mimicry"
"R_1dcBqYCcZwyAwQS","filler",1,"positive stimuli absent","facial mimicry"
"R_1dcBqYCcZwyAwQS","filler",1,"positive stimuli absent","facial mimicry"
"R_1dcBqYCcZwyAwQS","happy",2.5,"positive stimuli absent","facial mimicry"
"R_1dcBqYCcZwyAwQS","neutral",1,"positive stimuli absent","facial mimicry"
"R_1dcuwjXBn11Sxml","filler",3,"positive stimuli absent","voluntary facial action"
"R_1dcuwjXBn11Sxml","filler",2.5,"positive stimuli absent","voluntary facial action"
"R_1dcuwjXBn11Sxml","happy",2.75,"positive stimuli absent","voluntary facial action"
"R_1dcuwjXBn11Sxml","neutral",1,"positive stimuli absent","voluntary facial action"
"R_1DGprjOpwA1JXBR","filler",1,"positive stimuli absent","facial mimicry"
"R_1DGprjOpwA1JXBR","filler",1.25,"positive stimuli absent","facial mimicry"
"R_1DGprjOpwA1JXBR","happy",1,"positive stimuli absent","facial mimicry"
"R_1DGprjOpwA1JXBR","neutral",1,"positive stimuli absent","facial mimicry"
"R_1DMaF1ORjlyZhXr","filler",1,"positive stimuli absent","voluntary facial action"
"R_1DMaF1ORjlyZhXr","filler",1,"positive stimuli absent","voluntary facial action"
"R_1DMaF1ORjlyZhXr","happy",1,"positive stimuli absent","voluntary facial action"
"R_1DMaF1ORjlyZhXr","neutral",1,"positive stimuli absent","voluntary facial action"
"R_1dnto6RGyHKvYDU","filler",3,"positive stimuli absent","pen-in-mouth"
"R_1dnto6RGyHKvYDU","filler",3.5,"positive stimuli absent","pen-in-mouth"
"R_1dnto6RGyHKvYDU","happy",2.75,"positive stimuli absent","pen-in-mouth"
"R_1dnto6RGyHKvYDU","neutral",3.5,"positive stimuli absent","pen-in-mouth"
"R_1Dp6TrvAKtoG46v","filler",2.25,"positive stimuli present","pen-in-mouth"
"R_1Dp6TrvAKtoG46v","filler",1.25,"positive stimuli present","pen-in-mouth"
"R_1Dp6TrvAKtoG46v","happy",4.5,"positive stimuli present","pen-in-mouth"
"R_1Dp6TrvAKtoG46v","neutral",2.75,"positive stimuli present","pen-in-mouth"
"R_1DSgBU39PCi3vnF","filler",1,"positive stimuli present","facial mimicry"
"R_1DSgBU39PCi3vnF","filler",1.5,"positive stimuli present","facial mimicry"
"R_1DSgBU39PCi3vnF","happy",2.5,"positive stimuli present","facial mimicry"
"R_1DSgBU39PCi3vnF","neutral",1,"positive stimuli present","facial mimicry"
"R_1Du6Jzqw1ELSMc7","filler",3.25,"positive stimuli present","voluntary facial action"
"R_1Du6Jzqw1ELSMc7","filler",2,"positive stimuli present","voluntary facial action"
"R_1Du6Jzqw1ELSMc7","happy",1.75,"positive stimuli present","voluntary facial action"
"R_1Du6Jzqw1ELSMc7","neutral",2.25,"positive stimuli present","voluntary facial action"
"R_1du9lKbTAXhy4iP","filler",1,"positive stimuli absent","voluntary facial action"
"R_1du9lKbTAXhy4iP","filler",1.5,"positive stimuli absent","voluntary facial action"
"R_1du9lKbTAXhy4iP","happy",1.25,"positive stimuli absent","voluntary facial action"
"R_1du9lKbTAXhy4iP","neutral",2,"positive stimuli absent","voluntary facial action"
"R_1duJX5pUbICTbFA","filler",1,"positive stimuli absent","facial mimicry"
"R_1duJX5pUbICTbFA","filler",2.5,"positive stimuli absent","facial mimicry"
"R_1duJX5pUbICTbFA","happy",1.75,"positive stimuli absent","facial mimicry"
"R_1duJX5pUbICTbFA","neutral",1,"positive stimuli absent","facial mimicry"
"R_1DULy16ihBid2AQ","filler",1.25,"positive stimuli present","facial mimicry"
"R_1DULy16ihBid2AQ","filler",1,"positive stimuli present","facial mimicry"
"R_1DULy16ihBid2AQ","happy",4,"positive stimuli present","facial mimicry"
"R_1DULy16ihBid2AQ","neutral",1.25,"positive stimuli present","facial mimicry"
"R_1DUy0J37XDCoZGn","filler",3,"positive stimuli present","voluntary facial action"
"R_1DUy0J37XDCoZGn","filler",4.75,"positive stimuli present","voluntary facial action"
"R_1DUy0J37XDCoZGn","happy",2.25,"positive stimuli present","voluntary facial action"
"R_1DUy0J37XDCoZGn","neutral",2.75,"positive stimuli present","voluntary facial action"
"R_1DYfQqLGu6F4GoY","filler",1,"positive stimuli present","facial mimicry"
"R_1DYfQqLGu6F4GoY","filler",1.5,"positive stimuli present","facial mimicry"
"R_1DYfQqLGu6F4GoY","happy",2.75,"positive stimuli present","facial mimicry"
"R_1DYfQqLGu6F4GoY","neutral",3,"positive stimuli present","facial mimicry"
"R_1dyHpJe69AWWXMz","filler",2.25,"positive stimuli absent","voluntary facial action"
"R_1dyHpJe69AWWXMz","filler",2,"positive stimuli absent","voluntary facial action"
"R_1dyHpJe69AWWXMz","happy",2,"positive stimuli absent","voluntary facial action"
"R_1dyHpJe69AWWXMz","neutral",3,"positive stimuli absent","voluntary facial action"
"R_1dyvZHkMAETtn8F","filler",2.75,"positive stimuli absent","pen-in-mouth"
"R_1dyvZHkMAETtn8F","filler",1.5,"positive stimuli absent","pen-in-mouth"
"R_1dyvZHkMAETtn8F","happy",1.75,"positive stimuli absent","pen-in-mouth"
"R_1dyvZHkMAETtn8F","neutral",1,"positive stimuli absent","pen-in-mouth"
"R_1DZq8wPdOiyS0Sc","filler",2,"positive stimuli present","pen-in-mouth"
"R_1DZq8wPdOiyS0Sc","filler",3.5,"positive stimuli present","pen-in-mouth"
